reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
60d2f3d6-0da8-4281-b5d9-514aa4662f2d,Evita Silalahi,https://play-lh.googleusercontent.com/a/ACg8ocIAezgOvZfJGOC9T5q8q7OF59oliCZGcE7ns3fI3axOy7Hsnw=mo,kecewa dgn Traveloka pembayaran tetap waktu tp skrg saya mau pakai Tpaylater nya ga bisa ga konsisten dgn promosi kalian. team analisis kalian itu ga bisa cek mana pembayaran yg bnr dan tidak ini malah buat kecewa costumer kalian. kelar cicilan ditraveloka mau tutup akun lah.,1,25,5.29.0,2025-09-26 11:01:27,"Hai Evita, kami mohon maaf terkait masalah yang Anda temui. Setelah kami cek, tampaknya masalah tersebut telah teratasi melalui sambungan telepon. Jika terdapat kendala lebih lanjut, silakan hubungi kami melalui cs@paylater.co.id. Tim kami siap membantu Anda dan mencari solusi terbaik. Terima kasih atas kesabaran Anda. -LN",2025-09-26 12:38:40,5.29.0
b4f5968a-9540-47b4-a895-4ef6a8e7d93e,Hadi Suharto,https://play-lh.googleusercontent.com/a/ACg8ocLk_QOxMiDT5UBHn4evQbVtZVEz3AiafJvbeWqp4V4Jdm6eZg=mo,cepat tepat singkat luar biasa,5,0,5.29.0,2025-09-26 10:10:30,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-09-26 10:35:06,5.29.0
59e07c8c-10fb-4d63-9826-fa9e5569fc2d,Kisna Wati,https://play-lh.googleusercontent.com/a-/ALV-UjUnqTSkcg3usjCSe-TSGKG5lU1IJEz-ahPCJ536GxyeSNvxjYs,puas dengan aplikasi ini 👍,5,0,5.28.0,2025-09-26 07:35:57,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-09-26 08:05:21,5.28.0
e3cb5a6d-3a19-41ad-acc9-a1d72238078d,Elbi Plg,https://play-lh.googleusercontent.com/a-/ALV-UjVKXBgcnoS1TijOBVCprWwnSWlrmQrJUJx6S-cgN6mAyGV2uHZx,Sangat memuaskan proses cepat,5,0,5.28.0,2025-09-26 07:22:16,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-09-26 07:35:06,5.28.0
73f339c7-6cf5-454d-9106-87953bbceae7,Bon Lajan,https://play-lh.googleusercontent.com/a-/ALV-UjWdLrOTIhjAhLHVvz9gUseHS4b7BmU6MgpKXLBEoEsAUyYezkqU,Mantap 💯🙏,5,0,5.28.0,2025-09-26 07:09:38,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-09-26 07:35:09,5.28.0
f2699ac2-fa70-4487-b558-7949d351dea7,HardianMegantara,https://play-lh.googleusercontent.com/a/ACg8ocIQEUNHpSuWy4pxSbUCesofJCxoZaflMzZ8D0u1srgtd_4ZvA=mo,. d .. 'zzo,3,0,5.28.0,2025-09-26 06:31:33,,,5.28.0
8f389745-9382-4a94-bf78-d935572de22d,Dariyanto Yanto,https://play-lh.googleusercontent.com/a/ACg8ocKuKu88haxVgnkSZlT0SDA6IHvEEwRYK0CFSqSM4-svGfhtSQ=mo,Good job....,5,0,5.27.1,2025-09-26 06:14:06,"Hello! Thank you very much for the positive review. If you have any additional feedback, please feel free to contact us through our Message Center, which can be accessed via the Traveloka App homepage. We would be more than happy to assist you. Stay tuned for more exciting updates and offers on Traveloka!",2025-09-26 06:35:08,5.27.1
b950a0bd-342e-4ba4-b40b-488521f67fe1,eko maryono,https://play-lh.googleusercontent.com/a-/ALV-UjXT-tzr-US2GxuBQ0l4KWjZsodWLGzddg-6nQ8lcxTTqLZF0Lg,mudah pesan hotel dan banyak promonya,5,0,5.28.0,2025-09-26 05:30:20,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-09-26 05:35:07,5.28.0
437fde65-771e-40d8-81f0-4cf9b8d328ec,Dinda Fathia,https://play-lh.googleusercontent.com/a/ACg8ocJxstvD9-wvylmeRGOvoecpXCp55tYDmQ4muafGDqMPr43i5A=mo,mudah dan aman,5,0,5.28.0,2025-09-26 03:36:47,"Hai Kak, terima kasih atas feedbacknya. Jika Kakak memiliki saran, silakan sampaikan melalui fitur Message Center di kanan atas homepage Traveloka App agar kami dapat terus meningkatkan layanan kami. Pantau terus Traveloka untuk penawaran spesial lainnya!",2025-09-26 04:05:11,5.28.0
2c0b04bc-d327-4b6f-b964-2f44e93e540b,Rijal Hisab,https://play-lh.googleusercontent.com/a-/ALV-UjVaMBglSbIcCLr2Ue4az_3x1MXtoY8aL645iDRoY3CJR69Dyeg,terima kasih,5,0,5.28.0,2025-09-26 02:27:49,"Halo Kak, terima kasih banyak atas ratingnya. Jika Kakak memiliki saran, jangan ragu untuk menghubungi kami melalui Message Center yang dapat diakses melalui homepage Traveloka App. Kami akan dengan senang hati membantu Kakak. Nantikan promo menarik lainnya di Traveloka, ya!",2025-09-26 02:35:07,5.28.0
d52d1a2c-bf4f-4870-bc21-df9895deb75d,Muliana Yana,https://play-lh.googleusercontent.com/a-/ALV-UjVwSh2GGKTfsCsAg6hRAAFS41VNEFc5UscDp9Jag_NVM9xZYTW3,murah dan tepat waktu jg bnyak promo,5,0,5.28.0,2025-09-26 02:25:53,"Hai Kak, senang sekali dapat rating bagus dari Kakak. Semoga Kakak selalu setia menjadi pelanggan Traveloka, ya. Jika ada masukan atau saran, jangan sungkan untuk chat Customer Service kami dengan cara tap ikon chat bubble di kanan atas homepage Traveloka App. Tim kami akan segera membantu Kakak. Terima kasih!",2025-09-26 02:35:09,5.28.0
